               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11167,             0.24893,            0.071856,           0.0055208,            0.014236,           0.0033617,          0.00058724,             0.10637,             0.31385,             0.07707,              0.0962,              0.0002,              0.0002
                   1,            0.085045,             0.22075,            0.069616,             0.28814,           0.0098571,            0.001221,          0.00023439,             0.10477,             0.32012,            0.075492,            0.091449,          0.00044911,          0.00044911
                   2,            0.069871,             0.20494,            0.068505,            0.019981,            0.015638,            0.010584,            0.004146,             0.11162,             0.37759,            0.075021,            0.086697,          0.00069723,          0.00069723
                   3,            0.062246,              0.2015,            0.067671,           0.0030154,           0.0087857,           0.0017271,           0.0002398,             0.12931,             0.46445,             0.07851,            0.081944,          0.00094436,          0.00094436
                   4,            0.063966,             0.20454,            0.067582,           0.0020573,           0.0047143,           0.0010436,          0.00016709,             0.11772,              0.5266,            0.076134,             0.07719,           0.0011905,           0.0011905
                   5,              0.0551,             0.18754,            0.066902,           0.0089074,            0.018383,           0.0048421,          0.00096008,             0.12769,             0.67909,            0.079833,            0.072436,           0.0014356,           0.0014356
                   6,            0.050479,             0.18021,            0.066535,            0.024036,            0.039148,            0.013888,            0.002893,             0.11895,             0.62847,            0.084331,             0.06768,           0.0016798,           0.0016798
                   7,             0.04538,             0.17642,            0.066317,            0.013172,            0.074925,           0.0082701,           0.0019035,             0.10405,             0.61794,            0.075558,            0.062923,            0.001923,            0.001923
                   8,            0.042419,             0.16806,            0.066025,            0.021152,             0.17348,            0.015817,           0.0034707,            0.087843,             0.51134,            0.071779,            0.058165,           0.0021652,           0.0021652
                   9,             0.04256,             0.16756,            0.065838,            0.038553,             0.09388,            0.026217,           0.0067255,            0.094515,             0.54409,             0.07344,            0.053406,           0.0024063,           0.0024063
                  10,            0.041804,             0.17008,            0.065603,            0.037253,             0.19025,            0.032466,            0.010148,            0.083473,             0.34078,            0.068542,            0.048647,           0.0026465,           0.0026465
                  11,            0.044344,              0.1699,            0.065372,            0.033504,             0.17733,            0.025992,           0.0078048,            0.097751,             0.30685,            0.073939,            0.043886,           0.0028857,           0.0028857
                  12,            0.047779,             0.17959,            0.065195,            0.050602,             0.30511,            0.057192,            0.019003,            0.090139,             0.30422,             0.10771,            0.039124,            0.003124,            0.003124
                  13,            0.045351,             0.17597,            0.064828,            0.053699,             0.28729,            0.061707,            0.014485,            0.079774,             0.38376,            0.066456,            0.034361,           0.0033612,           0.0033612
                  14,            0.045061,             0.19187,            0.064424,            0.061387,            0.079993,            0.041556,            0.015554,             0.07431,             0.36428,            0.065465,            0.029597,           0.0035974,           0.0035974
                  15,            0.041334,             0.17293,             0.06396,             0.19077,             0.33861,             0.06222,            0.019442,            0.072654,             0.32573,            0.065262,            0.024833,           0.0038327,           0.0038327
                  16,             0.04437,             0.18373,            0.063199,             0.16031,             0.27108,             0.09206,             0.05214,            0.069519,             0.33372,            0.064062,            0.020067,           0.0040669,           0.0040669
                  17,            0.043562,             0.17354,             0.06235,            0.076011,             0.33615,             0.10267,            0.037301,            0.073985,              0.3382,            0.063281,              0.0153,           0.0043002,           0.0043002
                  18,            0.040978,             0.17588,            0.061958,             0.25549,             0.33168,              0.1158,            0.053427,            0.063102,             0.27803,            0.062712,            0.010532,           0.0045325,           0.0045325
                  19,            0.040547,             0.16647,            0.061776,              0.3738,             0.43368,             0.12228,            0.058467,            0.066277,              0.2502,            0.063371,           0.0057638,           0.0047638,           0.0047638
                  20,            0.039903,             0.16902,            0.061556,             0.44794,             0.37646,             0.13965,             0.05982,              0.0669,             0.21909,            0.062486,            0.004802,            0.004802,            0.004802
                  21,            0.041279,             0.16519,            0.061501,             0.22858,             0.16278,            0.082557,            0.046503,            0.062091,              0.2309,            0.064089,            0.004802,            0.004802,            0.004802
                  22,            0.040874,              0.1589,             0.06149,            0.078093,             0.71815,             0.13643,            0.077824,            0.046196,             0.16643,            0.063523,           0.0047921,           0.0047921,           0.0047921
                  23,            0.038387,             0.16491,            0.061375,              0.0986,             0.85358,             0.16924,            0.092022,            0.044939,             0.15837,            0.062514,           0.0047822,           0.0047822,           0.0047822
                  24,            0.036697,             0.16514,            0.061228,            0.087419,             0.79163,             0.14402,            0.085999,            0.044624,             0.18188,             0.06225,           0.0047723,           0.0047723,           0.0047723
                  25,            0.041329,             0.17035,            0.061278,            0.091155,             0.83833,             0.15524,             0.11123,            0.042925,             0.15998,            0.061365,           0.0047624,           0.0047624,           0.0047624
                  26,            0.039398,             0.17709,            0.061233,             0.11133,             0.38446,             0.10675,            0.054873,            0.098633,             0.24166,            0.080032,           0.0047525,           0.0047525,           0.0047525
                  27,            0.041266,             0.17305,            0.061179,            0.099244,             0.75351,             0.15772,              0.0954,            0.050945,             0.17141,            0.061552,           0.0047426,           0.0047426,           0.0047426
                  28,            0.038959,             0.17311,            0.061148,            0.083773,              0.7972,             0.15456,            0.095941,             0.04088,             0.14534,            0.061751,           0.0047327,           0.0047327,           0.0047327
                  29,            0.035758,             0.16227,            0.061208,             0.10185,             0.91932,             0.17759,              0.1135,            0.042446,             0.14379,            0.061324,           0.0047228,           0.0047228,           0.0047228
                  30,            0.036994,             0.16794,            0.061052,             0.11238,             0.88069,             0.17845,             0.10633,            0.038567,             0.13943,            0.061642,           0.0047129,           0.0047129,           0.0047129
                  31,            0.034211,             0.16193,             0.06116,             0.09439,             0.89123,             0.16125,             0.11086,            0.039468,             0.14709,            0.061635,            0.004703,            0.004703,            0.004703
                  32,            0.036902,             0.15886,            0.061144,             0.11069,             0.88383,             0.17682,             0.11951,            0.038198,             0.14762,            0.060952,           0.0046931,           0.0046931,           0.0046931
                  33,             0.03589,             0.16138,             0.06126,            0.094664,              0.8701,              0.1681,             0.11986,            0.040854,             0.14545,            0.061248,           0.0046832,           0.0046832,           0.0046832
                  34,            0.034035,             0.15913,            0.060863,             0.17798,             0.82233,             0.18612,             0.13194,            0.038271,             0.13628,            0.061112,           0.0046733,           0.0046733,           0.0046733
                  35,            0.034577,             0.16371,            0.060816,            0.098272,             0.87985,             0.17655,             0.12313,            0.042499,             0.14089,            0.060487,           0.0046634,           0.0046634,           0.0046634
                  36,             0.03614,             0.16349,            0.060299,             0.10085,             0.89728,             0.18308,             0.11214,            0.046294,             0.14928,            0.060417,           0.0046535,           0.0046535,           0.0046535
                  37,            0.035706,               0.157,            0.059842,            0.098264,             0.89361,             0.17819,             0.10762,            0.038927,             0.14052,            0.059387,           0.0046436,           0.0046436,           0.0046436
                  38,            0.036101,             0.16607,             0.05907,              0.1017,             0.85149,              0.1694,             0.10489,            0.039306,             0.13278,            0.058479,           0.0046337,           0.0046337,           0.0046337
                  39,             0.03428,             0.15302,            0.058087,             0.10692,             0.94774,             0.16692,             0.10955,            0.038008,             0.13282,            0.057863,           0.0046238,           0.0046238,           0.0046238
                  40,            0.033071,             0.15266,            0.057462,             0.10396,             0.93864,             0.18439,             0.12711,            0.035194,             0.12563,            0.057611,           0.0046139,           0.0046139,           0.0046139
                  41,            0.032226,             0.14601,            0.057208,             0.11558,             0.92149,             0.16106,             0.11025,            0.033384,              0.1248,            0.057228,            0.004604,            0.004604,            0.004604
                  42,            0.032505,             0.15467,            0.056592,             0.10732,             0.92077,             0.16148,              0.1177,            0.033963,             0.12767,             0.05901,           0.0045941,           0.0045941,           0.0045941
                  43,            0.033853,             0.15106,            0.056462,             0.10435,             0.97674,             0.16281,             0.10313,            0.037186,             0.13066,            0.056573,           0.0045842,           0.0045842,           0.0045842
                  44,            0.033084,             0.14771,            0.055945,             0.12109,             0.85012,             0.16309,             0.10776,            0.034408,             0.12323,            0.055014,           0.0045743,           0.0045743,           0.0045743
                  45,            0.032785,             0.15562,            0.055246,             0.13712,             0.89385,             0.16728,             0.11954,            0.031885,             0.12083,             0.05468,           0.0045644,           0.0045644,           0.0045644
